case:genes,count
-3.08495E+18,1746
-2.18854E+18,1739
-1.82732E+18,1708
-2.00026E+18,1696
-3.01995E+18,1684
-1.92928E+18,1676
-3.45196E+18,1673
6966237433913654753,1653
7032386524006524399,1642
2710546030884064419,1621
-1.78431E+18,1610
-1.9385E+18,1594
-7.8448E+18,1589
-4.05538E+18,1587
8079492961021214752,1582
-2.97296E+18,1535
1636440822522089697,372
1528354362745721057,329
1528354362908250337,328
1529480260505080033,258
1524976663192965249,228
1528354362908247265,218
1528354362745816289,185
-1.82233E+18,181
8550550602371859489,165
-4.27679E+18,162
-3.23336E+18,162
8359048251685682179,161
-2.29907E+18,160
1710523611157233668,160
1528354355397398759,157
6995434149466520269,148
7101305122035541292,146
3496171524280760713,146
3501586416278026606,143
-3.44809E+18,143
1528354429317717217,136
1528354360598332449,136
-1.93041E+18,134
6996420582993999310,131
3644785680069275052,129
6961550529362538927,128
8186631813869155821,126
1371003458004583555,125
7172054401362015630,123
3647042082907142604,123
3533291043444601261,122
1633063054082088161,120
7140533501219384619,120
8146104919042438571,118
3496101158764034444,118
7172201635021989166,117
-2.98317E+18,116
1529480262820338817,115
1528354355229525127,115
8146099449609237867,114
8444544011651288111,113
-2.90653E+18,112
-4.27345E+18,112
7134934790051280331,111
8372560052344699940,110
-3.12098E+18,110
7032414227892905355,109
1170032142548277251,107
1637566653709455489,107
-4.16754E+18,107
8375862396121660559,106
1528354362913493217,106
-4.30949E+18,106
8369956821122875458,104
7099998804611840462,104
-4.16427E+18,102
7140530060742996331,102
-4.38044E+18,102
7140711522245129582,101
7140707123085161967,100
8290218112211957101,100
-5.2148E+18,100
-4.13162E+18,100
7176699807851229646,100
1380645861527258596,100
-2.9044E+18,99
1528319239576919265,99
-4.16762E+18,98
1529445078280474849,98
-3.01247E+18,98
7173321897683625271,98
8298110258285578306,96
7105769107000505806,96
7172159719362510255,96
8085381902637469828,94
-5.53101E+18,94
-4.4537E+18,94
7251049869471104395,94
-4.25138E+18,94
-2.00381E+18,94
-2.2957E+18,93
-5.32054E+18,92
-2.16118E+18,92
-1.93379E+18,92
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
