,blockNumber,kittyId,case:genes,case:concept:name,concept:name,time:timestamp,from,to,start_timestamp_Rounded,genes,isValue,isValueCase2
10541897,8601703,,-3019947904495252141,995907,Is Transferred,2019-09-23 00:33:38+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,2019-09-23 00:30:00+00:00,-3019947904495252141,True,False
10541896,8600205,,-3019947904495252141,995907,Is Transferred,2019-09-22 18:53:29+00:00,0xcdcadf0279ee021a0c40a31ac10fa69e028e21d0,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-09-22 18:50:00+00:00,-3019947904495252141,True,False
10541895,8579705,,-3019947904495252141,995907,Is Transferred,2019-09-19 14:03:23+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xcdcadf0279ee021a0c40a31ac10fa69e028e21d0,2019-09-19 14:00:00+00:00,-3019947904495252141,True,False
10541894,8577787,,-3019947904495252141,995907,Is Transferred,2019-09-19 06:53:25+00:00,0x1c1ef71445010114f41ac1feb32dbf5d7281e90f,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-09-19 06:50:00+00:00,-3019947904495252141,True,False
10541893,8556908,,-3019947904495252141,995907,Is Transferred,2019-09-16 01:03:36+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x1c1ef71445010114f41ac1feb32dbf5d7281e90f,2019-09-16 01:00:00+00:00,-3019947904495252141,True,False
10541892,8555262,,-3019947904495252141,995907,Is Transferred,2019-09-15 18:52:37+00:00,0x00c9da65b33b4f7034b5f50b90f5f6d8320d6ab8,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-09-15 18:50:00+00:00,-3019947904495252141,True,False
10541891,8533865,,-3019947904495252141,995907,Is Transferred,2019-09-12 10:33:33+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x00c9da65b33b4f7034b5f50b90f5f6d8320d6ab8,2019-09-12 10:30:00+00:00,-3019947904495252141,True,False
10541890,8532870,,-3019947904495252141,995907,Is Transferred,2019-09-12 06:52:41+00:00,0x68d31cb3825e559b1e5c0665f2d65d06a17fce1a,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-09-12 06:50:00+00:00,-3019947904495252141,True,False
10541889,8511553,,-3019947904495252141,995907,Is Transferred,2019-09-08 23:03:42+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x68d31cb3825e559b1e5c0665f2d65d06a17fce1a,2019-09-08 23:00:00+00:00,-3019947904495252141,True,False
10541888,8510465,,-3019947904495252141,995907,Is Transferred,2019-09-08 18:52:52+00:00,0x6e13c7e25c2cda6f5c8c4e431bee480bfb312c28,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-09-08 18:50:00+00:00,-3019947904495252141,True,False
10541887,8489547,,-3019947904495252141,995907,Is Transferred,2019-09-05 12:33:49+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x6e13c7e25c2cda6f5c8c4e431bee480bfb312c28,2019-09-05 12:30:00+00:00,-3019947904495252141,True,False
10541886,8488033,,-3019947904495252141,995907,Is Transferred,2019-09-05 06:52:39+00:00,0x8acc1421ec98689461ff5777de8ad6648dc6d643,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-09-05 06:50:00+00:00,-3019947904495252141,True,False
10541885,8466760,,-3019947904495252141,995907,Is Transferred,2019-09-01 23:33:35+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x8acc1421ec98689461ff5777de8ad6648dc6d643,2019-09-01 23:30:00+00:00,-3019947904495252141,True,False
10541884,8465514,,-3019947904495252141,995907,Is Transferred,2019-09-01 18:52:28+00:00,0xadd12bd6375dc21d579cc4abcfa04864d6ac9a62,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-09-01 18:50:00+00:00,-3019947904495252141,True,False
